product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
JYNKS GROUP-Sirop royal bissap-saveur menthe-75 cl,JYNKS GROUP,Alimentaire,0,1297.000,0.000,-1297.000,0.000,0.000,0.000
,,,0,0.000,0.000,-26800.000,-26800.000,0.000,-35760.000
COD - Cacahouètes Gouteuses Caramélisées - 500g,COD,Alimentaire,0,10170.000,0.000,-10170.000,0.000,0.000,0.000
JYNKS GROUP-Sirop royal bissap-saveur gingembre-75 cl,JYNKS GROUP,Alimentaire,0,6102.000,0.000,-6102.000,0.000,0.000,0.000
Liqueur au fruit de datte 1/2L,Aphrodisiac,Alimentaire,0,2500.000,0.000,-2500.000,0.000,0.000,0.000
Green beauty - Savon Amina - 100g,Green Beauty,hygiène et beauté,0,1695.000,0.000,-1695.000,0.000,0.000,0.000
INFINIX S5 PRO ( X660B) – DUAL SIM – 4G – 64Go ROM – 4Go RAM,Pluri Mobile,High tech,0,63559.000,0.000,-63559.000,0.000,0.000,0.000
"Infinix S4 Pro - 4G - 6 Gb RAM - 64 Gb De ROM - 6,2 Pouces HD+ - 32MP/13MP+8MP+2MP - 4000mah",Pluri Mobile,High tech,0,101695.000,0.000,-101695.000,0.000,0.000,0.000
"KARIBAB, Crème visage restructurante",Origine Terre,hygiène et beauté,0,2966.000,0.000,-2966.000,0.000,0.000,0.000
Bionice- Savon éclat nare- 100% naturel,Ets ZECM NICE,Beauté et hygiène,0,763.000,0.000,-763.000,0.000,0.000,0.000
King of Soto- cocktail Bissap- 75cl - 8% d'alcool,Comme au Marché,Alimentaire,0,1695.000,0.000,-1695.000,0.000,0.000,0.000
PRT20-0005 - Dayélian - Ahayoué Deluxe - 75g,Iridium,Alimentaire,0,763.000,0.000,-763.000,0.000,0.000,0.000
"Coton Karité, 2-en-1 Shampooing Après-shampooing pour Bébé et Enfant",Origine Terre,hygiène et beauté,0,15254.000,0.000,-15254.000,0.000,0.000,0.000
Arifael-BRIGHT COSMETIC - Savon Dermadose plus - visage - soins anti-acnés - 75g,Arifael,Beauté et hygiène,0,678.000,0.000,-678.000,0.000,0.000,0.000
Assiette plate M1 lot de 6,Vaisselle Bénin,Électroménagers,0,19661.000,-983.000,-18678.000,0.000,0.000,0.000
Champignon Tchigan,le-grandmarche,Alimentaire,0,678.000,0.000,-678.000,0.000,0.000,0.000
Sandale blanche en cuir - Femme,Shamma,Chaussures Femme,0,12711.000,0.000,-12711.000,0.000,0.000,0.000
Samsung Galaxy S10e,Pluri Mobile,High tech,0,355932.000,0.000,-355932.000,0.000,0.000,0.000
PRT20-0005 - Dayélian - Coco Tchigan Muscade,Iridium,Alimentaire,0,678.000,0.000,-678.000,0.000,0.000,0.000
Fertitop femme fertilite gel b/60,LA NOUVELLE PHARMACIE HOUEYIHO,Alimentaire,0,23627.000,0.000,-23627.000,0.000,0.000,0.000
Assiette ronde M1 lot de 6,Vaisselle Bénin,Électroménagers,0,73729.000,0.000,-73729.000,0.000,0.000,0.000
Afrijus - Jus de Moringa à l'Ananas - 30 cl,Afrijus,Alimentaire,0,1271.000,0.000,-1271.000,0.000,0.000,0.000
Robe moulante-Violette-Taille M-Femme,KIONA,Robe femme,0,38136.000,0.000,-38136.000,0.000,0.000,0.000
LG Inverter Congélateur debout 6 casiers,TAG,grand électroménager,0,508475.000,0.000,-508475.000,0.000,0.000,0.000
Mini Four électrique 20L,TAG,Petits électroménagers,0,59322.000,0.000,-59322.000,0.000,0.000,0.000
Biscolait amuse gueule 1L,le-grandmarche,Alimentaire,-1,0.000,0.000,-1186.000,-1186.000,-214.000,-1400.000
Tecno Pouvoir 3 - 6.2'' - 5000 MAh - 32 Gb Rom / 2 Gb Ram - 13 Mpx / 13 Mpx,le-grandmarche,High tech,-1,0.000,0.000,-59322.000,-59322.000,-10678.000,-70000.000
Campari 1L 25%,le-grandmarche,Alimentaire,-1,0.000,0.000,-3500.000,-3500.000,0.000,-3500.000
Arcocere - bandes d'épilation pour cire - 100 pièces,le-grandmarche,Beauté et hygiène,-1,0.000,0.000,-8475.000,-8475.000,-1525.000,-10000.000
Barbecue électrique grille ronde,le-grandmarche,Petits électroménagers,-1,0.000,0.000,0.000,0.000,0.000,0.000
Byphasse - hair pro après-shampooing volume - 500ml,le-grandmarche,Beauté et hygiène,-1,0.000,0.000,-8475.000,-8475.000,-1525.000,-10000.000
Samsung Galaxy A2 Core,le-grandmarche,High tech,-1,0.000,0.000,-46610.000,-46610.000,-8390.000,-55000.000
ANDY csws 496tr Lave-Linge séchant Frontal,le-grandmarche,grand électroménager,-2,0.000,0.000,-555932.000,-555932.000,-100068.000,-656000.000
Babaria - baume massage rafraîchissant pieds et jambes à l'aloé véra - 300ml,le-grandmarche,Beauté et hygiène,-2,0.000,0.000,-3325.000,-3325.000,-599.000,-3924.000
ROGE Carvaillès Créme Lavante Hydratante 300ml,le-grandmarche,Beauté et hygiène,-2,0.000,0.000,-14780.000,-14780.000,-2660.000,-17440.000
Amuses gueules,le-grandmarche,Alimentaire,-2,0.000,0.000,-2034.000,-2034.000,-366.000,-2400.000
Arachide enrobée en bouteille amuse gueule,le-grandmarche,Alimentaire,-3,0.000,0.000,-3234.000,-3234.000,-582.000,-3816.000
Gommage tonic Corps 300ML CLARINS,le-grandmarche,Beauté et hygiène,-7,0.000,0.000,-35000.000,-35000.000,-6300.000,-41300.000
